,SoS091a_CP04272_S249_L001,SoS055a_CP04272_S217_L001,UG006_CP04272_S262_L001,SoS042a_CP04272_S215_L001,SoS036a_CP04272_S211_L001,X9B1L_CP04272_S278_L001,SoS024a_CP04272_S197_L001,SoS070a_CP04272_S227_L001,SoS078b_CP04272_S236_L001,SoS017a_CP04272_S191_L001,SoS098b_CP04272_S252_L001,P060_CP04272_S338_L001,P006_CP04272_S287_L001,SoS002a_CP04272_S177_L001,P012_CP04272_S291_L001,P031_CP04272_S310_L001,SoS081a_CP04272_S241_L001,P043_CP04272_S322_L001,SoS008a_CP04272_S185_L001,P026_CP04272_S305_L001,UG004_CP04272_S260_L001,SoS025a_CP04272_S199_L001,SoS098a_CP04272_S251_L001,SoS079b_CP04272_S238_L001,SoS017b_CP04272_S192_L001,SoS008b_CP04272_S186_L001,SoS081b_CP04272_S242_L001,SoS014a_CP04272_S189_L001,P009_CP04272_S288_L001,SoS042b_CP04272_S216_L001,SoS065b_CP04272_S224_L001,UG005_CP04272_S261_L001,SoS035a_CP04272_S209_L001,P004_CP04272_S285_L001,P018_CP04272_S297_L001,UG001_CP04272_S257_L001,SoS006b_CP04272_S184_L001,X2B1L_CP04272_S276_L001,SoS078a_CP04272_S235_L001,SoS006a_CP04272_S183_L001,P041_CP04272_S320_L001,SoS065a_CP04272_S223_L001,P024_CP04272_S303_L001,P033_CP04272_S312_L001,SoS036b_CP04272_S212_L001,P055_CP04272_S333_L001,P010_CP04272_S289_L001,P001_CP04272_S282_L001,P019_CP04272_S298_L001,SoS018a_CP04272_S193_L001,SoS091b_CP04272_S250_L001,SoS018b_CP04272_S194_L001,P015_CP04272_S294_L001,P036_CP04272_S315_L001,SoS005b_CP04272_S182_L001,P056_CP04272_S334_L001,P051_CP04272_S330_L001,SoS082b_CP04272_S244_L001,SoS039b_CP04272_S214_L001,P023_CP04272_S302_L001,P034_CP04272_S313_L001,SoS077a_CP04272_S233_L001,SoS011b_CP04272_S188_L001,SoS033a_CP04272_S207_L001,P003_CP04272_S284_L001,SoS077b_CP04272_S234_L001,P057_CP04272_S335_L001,SoS082a_CP04272_S243_L001,SoS075a_CP04272_S231_L001,SoS039a_CP04272_S213_L001,UG009_CP04272_S263_L001,SoS031b_CP04272_S206_L001,SoS014b_CP04272_S190_L001,SoS075b_CP04272_S232_L001,P046_CP04272_S325_L001,P017_CP04272_S296_L001,P021_CP04272_S300_L001,SoS004a_CP04272_S179_L001,X16B1NL_CP04272_S343_L001,P044_CP04272_S323_L001,P053_CP04272_S332_L001,SoS005a_CP04272_S181_L001,SoS087b_CP04272_S248_L001,X9B1NL_CP04272_S279_L001,SoS035b_CP04272_S210_L001,SoS025b_CP04272_S200_L001,P029_CP04272_S308_L001,P059_CP04272_S337_L001,P025_CP04272_S304_L001,SoS027b_CP04272_S202_L001,SoS085b_CP04272_S246_L001,SoS069a_CP04272_S225_L001,P040_CP04272_S319_L001,UG010_CP04272_S264_L001,P042_CP04272_S321_L001,P013_CP04272_S292_L001,SoS004b_CP04272_S180_L001,P058_CP04272_S336_L001,SoS011a_CP04272_S187_L001,SoS063b_CP04272_S222_L001,P038_CP04272_S317_L001,P050_CP04272_S329_L001,SoS063a_CP04272_S221_L001,P027_CP04272_S306_L001,P011_CP04272_S290_L001,P032_CP04272_S311_L001,SoS087a_CP04272_S247_L001,SoS073a_CP04272_S229_L001,P020_CP04272_S299_L001,SoS069b_CP04272_S226_L001,X17B1NL_CP04272_S273_L001,SoS085a_CP04272_S245_L001,P005_CP04272_S286_L001,P048_CP04272_S327_L001,P045_CP04272_S324_L001,SoS080a_CP04272_S239_L001,SoS024b_CP04272_S198_L001,P037_CP04272_S316_L001,SoS070b_CP04272_S228_L001,P049_CP04272_S328_L001,SoS055b_CP04272_S218_L001,SoS060a_CP04272_S219_L001,SoS002b_CP04272_S178_L001,SoS023a_CP04272_S195_L001,SoS100a_CP04272_S255_L001,P022_CP04272_S301_L001,SoS060b_CP04272_S220_L001,P016_CP04272_S295_L001,P035_CP04272_S314_L001,SoS023b_CP04272_S196_L001,P047_CP04272_S326_L001,X17B1L_CP04272_S344_L001,P002_CP04272_S283_L001,UG003_CP04272_S259_L001,SoS100b_CP04272_S256_L001,P039_CP04272_S318_L001,SoS079a_CP04272_S237_L001,P030_CP04272_S309_L001,X2B1NL_CP04272_S277_L001,P028_CP04272_S307_L001,SoS099a_CP04272_S253_L001,SoS099b_CP04272_S254_L001,P052_CP04272_S331_L001,SoS080b_CP04272_S240_L001,UG002_CP04272_S258_L001,SoS073b_CP04272_S230_L001,P014_CP04272_S293_L001
VF0460,0.026154318,0.025448308,0.026223858,0.025151747,0.022837004,0.026070918,0.023805507,0.028941538,0.027448242,0.026551734,0.024096386,0.030256448,0.029723581,0.025179386,0.026343547,0.021021021,0.022642005,0.024891909,0.02539878,0.027916392,0.027217709,0.025974257,0.02534873,0.026167163,0.022070314,0.025284196,0.021669598,0.02611719,0.024845955,0.025256438,0.024287328,0.027915082,0.01759739,0.017699115,0.023929446,0.027613141,0.024157772,0.025691168,0.027067897,0.02270556,0.033464567,0.026660287,0.025708288,0.028574355,0.026818964,0.004754358,0.029124375,0.026702366,0.030553787,0.025816964,0.030193168,0.024068542,0.026396221,0.029844156,0.023195552,0.024393912,0.020661157,0.026760819,0.022463609,0.042089326,0.031340945,0.026374422,0.023544825,0.024949231,0.026040264,0.025871048,0.03271028,0.025172558,0.028645912,0.024999621,0.024650207,0.024948491,0.023553424,0.027122601,0.026124977,0.026909791,0.023111264,0.024746237,0.023661446,0.028245583,0.013783598,0.024273552,0.027862797,0.024992362,0.020599145,0.027625923,0.02464031,0.026538349,0.02502317,0.026475477,0.035518724,0.023527131,0.026915143,0.025043251,0.026862215,0.022352045,0.025741725,0.029615913,0.025265925,0.022800762,0.015011547,0.027562955,0.025007021,0.029761323,0.028297961,0.02454355,0.024232541,0.024453443,0.025503569,0.026580978,0.026907402,0.02868183,0.022453889,0.028226358,0.00608828,0.037520552,0.025083881,0.027407245,0.029967006,0.023345059,0.027789977,0.028115135,0.023114035,0.026301778,0.027666023,0.024049556,0.023890526,0.029734568,0.014175578,0.025454288,0.027915353,0.027116114,0.026799387,0.027947051,0.024251667,0.04995005,0.025827224,0.024587874,0.025934776,0.026584772,0.029488072,0.025682067,0.029799777,0.024481941,0.025332142,0.026374824,0.026647691
VF0268,0.008436877,0.01315171,0.009269179,0.014423812,0.01092511,0.00793733,0.012424266,0.012269166,0.013083332,0.011097163,0.0134614,0.01080936,0.008656581,0.011095519,0.013917831,0.007507508,0.0127373,0.013218036,0.00962075,0.015100491,0.01245995,0.011540169,0.015071747,0.015265984,0.014141321,0.012415484,0.013613549,0.011007118,0.006559332,0.014831768,0.013721842,0.010105106,0.011878718,0.019174041,0.013967599,0.007886522,0.01213379,0.014567303,0.012104478,0.013547196,0.011053907,0.013980181,0.014662512,0.012085211,0.010811677,0.003169572,0.012241873,0.013550357,0.016549968,0.011953094,0.012254763,0.01189765,0.016671298,0.013926994,0.013239614,0.012054279,0.008264463,0.010455813,0.011117463,0.008478425,0.010185807,0.015633679,0.015134628,0.014884738,0.014101885,0.015871519,0.01635514,0.011919917,0.012773955,0.011915423,0.012143201,0.011596566,0.013153632,0.012074372,0.01301729,0.013832851,0.013324176,0.011487944,0.010956261,0.011949654,0.009303928,0.011881728,0.015690413,0.010193595,0.011484931,0.011515438,0.012927324,0.01341499,0.011430337,0.0116121,0.009628109,0.015777544,0.01003843,0.012763323,0.010227711,0.011176022,0.011352761,0.011456442,0.015204642,0.012709422,0.010681293,0.013882434,0.013530131,0.011722184,0.012484395,0.011502117,0.011987526,0.011757713,0.01330506,0.014777726,0.010386082,0.009989947,0.009852217,0.014263355,0,0.010600967,0.015223444,0.011881332,0.00917038,0.016629357,0.011278582,0.014675023,0.011176927,0.012336432,0.011236552,0.012193106,0.014771908,0.011208843,0.006963442,0.010668283,0.011835081,0.010666086,0.010107198,0.010873687,0.013785473,0.007992008,0.013353717,0.010058676,0.012796177,0.013680145,0.010584101,0.009656195,0.013408102,0.012651033,0.013673427,0.012800852,0.011189086
VF0583,0.004678632,0.001995259,0.004820905,0.004379299,0.004299559,0.003150063,0.002791625,0.001440191,0.001969189,0.003447987,0.006634889,0.00268404,0.002104425,0.002335002,0.002221022,0.001876877,0.004192616,0.00160593,0.002116565,0.002051156,0.001618175,0.001810919,0.002210291,0.002661361,0.004264721,0.00142284,0.004026917,0.005734247,0.001391373,0.002561968,0.003333555,0.001643998,0.003646133,0.001474926,0.002751492,0.001347653,0.002168709,0.00348595,0.001579757,0.002657721,0.006511205,0.002334623,0.00278752,0.003072511,0.0029632,0,0.002091783,0.002775374,0,0.002215562,0.005796937,0.002014588,0.00277855,0.001749507,0.003797734,0.00392169,0.005785124,0.001636562,0.001301728,0.008175625,0.00402955,0.003083049,0.00269474,0.003057285,0.003831751,0.003236024,0,0.002332266,0.002691806,0.001889771,0.003057924,0.002016794,0.00205728,0.002709704,0.001765137,0.002436776,0.001510989,0.002605274,0.002572408,0.002783963,0.004479669,0.004001618,0.002467018,0.001916507,0.006635738,0.001342347,0.002105878,0.002916302,0.000926784,0.002023639,0.003734789,0.003559143,0.001886179,0.00331592,0.006812042,0.002540005,0.001958131,0.001845289,0.003107518,0.0022664,0.003752887,0.003748714,0.00219746,0.003646902,0.009987516,0.002223457,0.002212495,0.001866746,0.002266004,0.002595904,0.004557606,0.005968836,0.00171841,0.002119146,0.00456621,0.005055091,0.001989934,0.004665063,0.001163305,0.003517749,0.001177383,0.008574745,0.002047222,0.002260626,0.004235861,0.00259532,0.005033578,0.002646532,0.00397911,0.002314742,0.002830128,0.003140743,0.003292496,0.001657951,0.003349182,0,0.002883847,0.001676446,0.002888259,0.002698804,0.000937533,0.001449741,0.003621626,0.001124626,0.002489879,0.001178692,0.003533395
VF0449,0.000230097,1.00E-05,2.33E-05,0,0,0.000186517,0,3.93E-06,0,7.25E-05,0.00035929,4.88E-05,0.000284382,0,1.72E-05,0,0.000159451,0,0,0,8.09E-06,0.000142033,5.22E-05,8.67E-06,4.62E-05,4.46E-05,0,3.30E-05,0,0,0,0,0.000268662,0,6.57E-06,6.88E-06,0,0,0,0,0,2.50E-06,1.30E-05,0.000102417,4.00E-05,0,0,0,0,1.56E-05,5.66E-05,1.85E-05,0,0,2.10E-05,0,0,0,0,0,0.000111932,0,2.17E-05,0,8.69E-06,0,0,9.95E-06,4.85E-05,0,1.97E-05,3.11E-05,0,5.96E-05,1.90E-05,0,0.000343407,2.32E-05,0.000227438,1.89E-06,0,1.76E-05,8.80E-06,0.000144432,5.10E-05,4.64E-06,0,0,0,0,1.00E-04,3.98E-05,0,4.24E-05,0,0.000254001,0,3.26E-06,0,3.91E-05,0,7.62E-06,7.59E-06,0,0,0.000327817,0,0,1.32E-05,0,4.38E-05,3.14E-05,0.000229121,0,0,0,1.78E-05,7.29E-05,0,0,0,0,0,0,5.32E-05,0,2.53E-05,0,0,2.36E-05,0,9.33E-05,0.000306279,2.65E-05,1.50E-05,0.004995005,3.47E-05,0,1.49E-05,2.33E-05,1.18E-05,1.31E-05,0,4.06E-06,3.80E-06,0,0
VF0013,0.001227182,0,0,8.99E-06,0,0,0,0,0,0,0.000167669,0,3.41E-05,0,8.58E-06,0.003003003,0,0,0,0,4.05E-05,0,0,0,7.70E-06,0,4.43E-06,0,0,0,0,0,0.000364613,0.005899705,0,0,0,0,6.99E-06,0,0,3.01E-05,0,0,0,0,0,1.31E-05,0,1.17E-05,0.000169943,2.32E-05,0,2.30E-05,0,0,0,0,8.80E-06,0,0,0,0,0,0,0,0,9.95E-06,2.43E-05,3.79E-06,9.83E-06,1.24E-05,0,0,0,3.19E-06,0,0.000324693,1.57E-05,0,0,0,0,0.000183318,0.006108282,0,7.69E-05,0,0,0,0.001505679,0,0,8.48E-06,0,0.008382017,0,2.61E-05,0,9.77E-06,0,0,0,3.26E-05,0,5.70E-05,0,0.000278619,0,0,0.000175293,0.002890173,0,0,0,0,0,0,0,0,0,0,7.53E-06,0,0,0,0,0,0.004227804,0,0,3.11E-05,0,4.41E-05,0,0,0,0.002235261,0.000133991,0,0,0,0,8.12E-06,0,0,0.000588899
VF0091,0.021322289,0.023553062,0.01728073,0.022489996,0.020687225,0.033697387,0.02256308,0.018864138,0.023314551,0.018567802,0.014371602,0.021569919,0.024104197,0.021463836,0.020477991,0.024399399,0.017539581,0.023965411,0.019183776,0.021893034,0.022767727,0.019511762,0.021467668,0.022053756,0.023363587,0.022802586,0.019662784,0.015324282,0.018684158,0.022906628,0.021108822,0.02204053,0.024256381,0.028023599,0.022491315,0.017581375,0.022296526,0.024472502,0.024071485,0.02246852,0.020290733,0.021853269,0.021695198,0.028779189,0.020091699,0.050713154,0.018554281,0.02266338,0.019732654,0.023726443,0.021016258,0.022716221,0.026118366,0.023126553,0.021968107,0.020607187,0.032231405,0.013638017,0.01858481,0.010093364,0.026192075,0.023253927,0.023321298,0.022561425,0.022026049,0.023573685,0.023364486,0.022437491,0.01982479,0.022878372,0.025181165,0.02268271,0.023893605,0.021396435,0.021643147,0.021637552,0.022699176,0.022125502,0.025167246,0.019489632,0.020330806,0.022875185,0.020734389,0.02940866,0.020298551,0.02118312,0.020582268,0.015164771,0.021624961,0.02053349,0.019914953,0.023387947,0.019130238,0.023898368,0.012524122,0.017526035,0.02298054,0.022394507,0.022248581,0.021950862,0.038106236,0.020156958,0.024893163,0.017550715,0.027049521,0.021279628,0.019645429,0.023134647,0.023233156,0.023538903,0.016148823,0.016335763,0.023828617,0.021561894,0.03957382,0.013840151,0.021032624,0.025512064,0.015878091,0.027822194,0.022099293,0.012873723,0.022263535,0.022308456,0.017368804,0.02088498,0.019122539,0.019226279,0.010196469,0.019698926,0.017881263,0.020088314,0.019525268,0.019913046,0.023593792,0.020979021,0.02194735,0.025705504,0.024237552,0.01684426,0.020843898,0.017934808,0.023652899,0.023860757,0.024035885,0.022775377,0.021740197
VF0095,0.016030066,0.021357777,0.01807257,0.02048469,0.016810573,0.014651939,0.021750134,0.019328462,0.020679156,0.018143778,0.016311768,0.015884635,0.012353543,0.021196816,0.022810493,0.008633634,0.018796428,0.024459543,0.021069443,0.021104716,0.021246642,0.020878828,0.024260988,0.021485941,0.019830181,0.021056542,0.018081256,0.016626022,0.013317432,0.02186834,0.021762243,0.02232549,0.014219919,0.014749263,0.020100997,0.018722755,0.020847059,0.023381371,0.021624959,0.022640913,0.02104785,0.020520631,0.022454009,0.012597296,0.016708045,0.019017433,0.020040765,0.019496188,0.012730745,0.021624198,0.018259408,0.019826329,0.022228397,0.020077472,0.019492237,0.021046786,0.02231405,0.018971997,0.020115221,0.013121373,0.011640922,0.022211682,0.022107423,0.022516793,0.02031436,0.021070588,0.018691589,0.021144551,0.01825457,0.021777903,0.020717186,0.019570373,0.018969092,0.017485259,0.018203271,0.020403216,0.026510989,0.020115498,0.013238489,0.01924833,0.015161957,0.019462816,0.025175901,0.018581785,0.023684479,0.019942782,0.022457575,0.018664334,0.013592833,0.02049425,0.018497497,0.02192154,0.021871203,0.021583161,0.017966036,0.007112014,0.020868398,0.020324262,0.022220835,0.022283007,0.006639723,0.021155092,0.02195183,0.018983426,0.017062006,0.016091561,0.020103186,0.021407211,0.01934039,0.022664588,0.014352075,0.021613471,0.008821171,0.020807678,0.00456621,0.020195823,0.022710237,0.013776514,0.021538148,0.013431404,0.018828784,0.017836583,0.021458194,0.021645158,0.020399482,0.024741233,0.021386384,0.021872811,0.01367819,0.02009259,0.020196823,0.016947571,0.01669219,0.01971903,0.023339613,0.021978022,0.020708106,0.017043867,0.019346866,0.020737363,0.019582061,0.01775113,0.016957835,0.01910241,0.022169426,0.020912282,0.017912352
VF0286,0.010047553,0.009781272,0.012599562,0.009666832,0.008951542,0.007626469,0.01007746,0.010647968,0.010554958,0.008190365,0.005054013,0.008979333,0.005972017,0.010129703,0.009930282,0.012012012,0.008282059,0.010376776,0.011006138,0.008966156,0.011270591,0.011291611,0.007605489,0.010073296,0.009407019,0.008700498,0.009905596,0.006459267,0.005963029,0.010016426,0.009258644,0.008066549,0.007944732,0.014749263,0.008825789,0.013002104,0.011008258,0.011123865,0.011046647,0.010422578,0.007268322,0.010094988,0.006268661,0.007783695,0.010170985,0,0.009948323,0.011199451,0.012094208,0.010397902,0.009516796,0.01047586,0.008613504,0.009528115,0.01040705,0.009682756,0.009917355,0.013062189,0.0118211,0.004138279,0.006380121,0.009885727,0.009745148,0.010176073,0.009939961,0.009729503,0.014018692,0.010731407,0.010761163,0.011129916,0.009773556,0.010532147,0.009184864,0.009901496,0.01082871,0.00990339,0.007417582,0.011982714,0.007803493,0.011027975,0.005168849,0.009955674,0.006675462,0.009099242,0.007934527,0.011990708,0.007409001,0.010498688,0.016373185,0.011771861,0.006628515,0.010339411,0.007784905,0.010388751,0.00412968,0.00508001,0.011099744,0.01000564,0.009887873,0.010452791,0.007505774,0.009059393,0.010148547,0.010452281,0.001664586,0.009991306,0.009202834,0.011794862,0.00917864,0.010586422,0.007208905,0.008827595,0.004811548,0.010258669,0.00304414,0.00846605,0.006844303,0.008965668,0.006673696,0.007994883,0.012969902,0.006536676,0.010364059,0.009796047,0.008223597,0.008373579,0.008208021,0.00856231,0.005471276,0.009920322,0.007718531,0.009173456,0.008269525,0.011455734,0.009150444,0.002997003,0.009890784,0.013970383,0.010555543,0.009631939,0.013797658,0.014943486,0.007306158,0.011737528,0.010187596,0.011241936,0.007606615
VF0171,0.015799969,0.007711002,0.01152825,0.006519491,0.011488987,0.010942325,0.00788404,0.011793038,0.00744867,0.009981309,0.00888644,0.013761804,0.01200091,0.008436685,0.007391972,0.010135135,0.006847002,0.006485485,0.009524543,0.006911173,0.01070423,0.01249889,0.007361835,0.007680671,0.007751938,0.00948436,0.007347241,0.006426312,0.009540847,0.006699048,0.00913682,0.009458467,0.011955479,0.016224189,0.006317269,0.014556031,0.006709272,0.007085264,0.006917843,0.006522192,0.013476681,0.008303942,0.005567217,0.015464973,0.011402314,0.006339144,0.01050421,0.00848285,0.014003819,0.008553554,0.011971525,0.009850643,0.018616282,0.006476941,0.008665548,0.005980866,0.011570248,0.01600194,0.0120146,0.001463538,0.006380121,0.006247231,0.006656132,0.006025306,0.006499205,0.005803413,0.004672897,0.008876534,0.012319258,0.008196597,0.008406832,0.009119146,0.008796086,0.011554586,0.009149214,0.007278434,0.005769231,0.009879941,0.015167795,0.009681415,0.007236389,0.010052417,0.006763412,0.008254868,0.010424347,0.01146907,0.006286891,0.006124234,0.013901761,0.010675957,0.01246302,0.006387569,0.008371245,0.008506055,0.004747202,0.006858014,0.007700516,0.006976888,0.006756077,0.009046061,0.013279446,0.005847842,0.007286915,0.014880662,0.010403662,0.008908083,0.01180633,0.008358564,0.005951567,0.007138737,0.007493755,0.011874843,0.015809371,0.007151701,0.00304414,0.004809698,0.006772915,0.016400612,0.010360897,0.005756316,0.01090481,0.003036212,0.007345913,0.006339681,0.007851408,0.008936715,0.00457828,0.008484471,0.003730415,0.010644663,0.008104457,0.013122707,0.00712098,0.010935419,0.007460901,0.01998002,0.009276954,0.009779268,0.008099035,0.012687482,0.013225704,0.017101698,0.005391998,0.011177244,0.007541862,0.009061989,0.00814644
VF0073,0.003681546,0.002910378,0.00270157,0.002913538,0.002572687,0.002569788,0.002760948,0.00302991,0.002916326,0.003816219,0.002586888,0.003879657,0.00233193,0.002772459,0.003533054,0.001501502,0.002654386,0.002532427,0.003752093,0.002908356,0.002847989,0.00237905,0.002358224,0.002613682,0.002417188,0.002184412,0.002724482,0.002801213,0.003776585,0.002491248,0.002547235,0.003781195,0.003012857,0.008849558,0.00219988,0.002935959,0.002333421,0.00240899,0.00287525,0.002758284,0.002271351,0.002600148,0.002602381,0.002662843,0.002913146,0.006339144,0.002746495,0.003052912,0,0.003028326,0.003549916,0.003112192,0.004167824,0.003090935,0.003042384,0.002518056,0.000826446,0.003091284,0.001855842,0.002018673,0.002910231,0.002540083,0.002437063,0.002901073,0.002745653,0.002378799,0,0.002745012,0.002843372,0.00245139,0.002802277,0.002794878,0.002122076,0.002070623,0.002868942,0.002959854,0.002712912,0.002357889,0.002995914,0.002885215,0.00137836,0.002532892,0.002335092,0.002771991,0.001979378,0.002329981,0.002736104,0.004082823,0.000308928,0.002446865,0.00374067,0.002689241,0.004379892,0.003341362,0.003106909,0.003556007,0.002640177,0.003397158,0.002784974,0.002520393,0.002886836,0.003024877,0.002948923,0.002181629,0.002913025,0.003762774,0.002155275,0.002544718,0.002552561,0.002541823,0.003001884,0.003110078,0.002176653,0.00286335,0,0.003410959,0.002703812,0.00225964,0.00380285,0.001918772,0.002420176,0.001592386,0.003274049,0.002599043,0.003207912,0.002203573,0.002276493,0.002490854,0.002486944,0.002684786,0.001543706,0.003482804,0.003598775,0.003262988,0.002781017,0.001998002,0.002895429,0.003911707,0.002702159,0.00275309,0.002329092,0.002223811,0.001734426,0.002837956,0.002858609,0.002699586,0.004858419
VF0072,0.064503758,0.06584856,0.067539243,0.059808462,0.058854626,0.049841461,0.064652197,0.073367095,0.067939683,0.06313499,0.053318642,0.067198595,0.045148447,0.066925354,0.061545454,0.043543544,0.062392136,0.072019765,0.068403533,0.064546373,0.066652642,0.069205504,0.066178198,0.066438674,0.052877917,0.066290215,0.062926669,0.063406275,0.063406877,0.063174847,0.062396173,0.064740632,0.042007292,0.038348083,0.061182945,0.066646956,0.065895814,0.06144341,0.068013421,0.065983321,0.050423985,0.066849863,0.069967014,0.038816059,0.058232892,0.053882726,0.074476539,0.067519958,0.040738383,0.068393268,0.059725448,0.064161167,0.054181717,0.069063658,0.061917751,0.065149406,0.061157025,0.061371075,0.068543032,0.059248044,0.04600403,0.062110328,0.066353315,0.065519627,0.065904371,0.062465979,0.051401869,0.067282637,0.064178969,0.067921707,0.069791452,0.061474874,0.061362016,0.058190463,0.069558763,0.068092585,0.07393544,0.067829892,0.049738446,0.069530937,0.05582357,0.060912545,0.07151715,0.057200789,0.056539888,0.069326786,0.070400885,0.065908428,0.065183812,0.069894025,0.053569223,0.062145825,0.061445647,0.066428644,0.055191046,0.027686055,0.06581741,0.075343873,0.062313367,0.063322425,0.061200924,0.07192655,0.064272865,0.056657224,0.048272992,0.068214535,0.063552008,0.069663986,0.064082952,0.062797447,0.06538411,0.054096507,0.039065185,0.070008577,0.04261796,0.063556723,0.069255069,0.051242802,0.062852478,0.033258714,0.066886569,0.058616527,0.068393759,0.063315585,0.061854208,0.067814973,0.06205972,0.066708181,0.038050236,0.062584638,0.07371197,0.048106226,0.057733538,0.067199915,0.06318591,0.03996004,0.064776531,0.046381671,0.061122401,0.064492113,0.068168685,0.069148064,0.064614113,0.067506009,0.069112197,0.070303291,0.064386318
VF0798,0.006519405,0.005995779,0.007243002,0.005827076,0.007718062,0.00712909,0.007163126,0.008723778,0.005492859,0.009239267,0.006658842,0.006344094,0.006961665,0.006647085,0.008515346,0.003753754,0.006359271,0.006114886,0.007735083,0.005009261,0.006399883,0.005983134,0.007109479,0.004806921,0.006643419,0.005100676,0.005838808,0.007085421,0.008547009,0.004979282,0.005758965,0.009831107,0.005603531,0.008849558,0.004925106,0.008278442,0.006017481,0.005583188,0.005107414,0.005315443,0.003482738,0.006315004,0.005655876,0.004301516,0.007908541,0.012678288,0.006757118,0.006184187,0.005728835,0.005650269,0.006212353,0.006242908,0.001944985,0.005252705,0.005266471,0.006011715,0.003305785,0.008849558,0.005558732,0.00539995,0.008171032,0.005105129,0.005212521,0.005422776,0.006064766,0.005104774,0.002336449,0.006410001,0.007287278,0.005445424,0.005565224,0.005938338,0.006447223,0.006177784,0.00647534,0.005192502,0.005151099,0.005968165,0.004572298,0.006651419,0.007236389,0.006903891,0.006046614,0.00689387,0.004355766,0.006037085,0.004841982,0.006124234,0.004324992,0.005364605,0.009551649,0.005666793,0.012249569,0.006623359,0.008818989,0.003810008,0.00642443,0.005082696,0.004949139,0.005490158,0.00404157,0.00563831,0.005283013,0.003842271,0.002913025,0.005843702,0.006732851,0.00548879,0.005713505,0.004862814,0.00503966,0.008199296,0.00870661,0.005466396,0.00304414,0.009300385,0.006308895,0.004665063,0.014279397,0.005436521,0.005746751,0.00450325,0.006533045,0.005883945,0.011094766,0.005759896,0.004692104,0.009107185,0.003481721,0.008070104,0.006367788,0.00957771,0.003598775,0.006711173,0.006608654,0.008991009,0.006451015,0.006146968,0.005456427,0.005901695,0.00593771,0.006500876,0.005185305,0.006102215,0.006405261,0.005424519,0.003631545
VF0368,0.002607762,0.000565073,0.002631702,0.00067443,0.003066079,0.002362547,0.000199402,0.001058501,0.00028093,0.003129969,0.004503102,0.001537223,0.002024798,0.000721521,0.001011894,0.004129129,0.002363623,0.000741198,0.000904351,0.000275528,0.000776724,0.001367066,0.000687453,0.000277406,0.002286321,0.000943607,0.00214636,0.003855787,0.002981515,0.000276448,0.000376548,0.000668559,0.002091729,0.004424779,0.001392163,0.000873224,0.000581983,0.000297581,0.000172422,0.000524361,0.005148395,0.000405803,0.001387241,0.005120852,0.002783006,0.019017433,0.001420601,0.000525689,0.001909612,0.000652555,0.002039313,0.001180966,0.00222284,0.000305536,0.001363827,0.001152984,0.005785124,0.001757789,0.001064251,0.005198082,0.003022163,0.000237158,0.000214213,0.000736426,0.000199842,0.000231451,0,0.000780737,0.001297402,0.000333935,0.000639116,0.000485525,0.00102054,0.001440063,0.000523356,0.000870733,0.000858516,0.001005002,0.003286094,0.001109989,0.00103377,0.001723774,0.000659631,0.001510985,0.003232795,0.000595826,0.000660969,0.000874891,0.002162496,0.000543748,0.001305706,0.000347961,0.000826528,0.000822619,0.005345426,0.002286005,0.000396027,0.000443391,0.000221966,0.00066429,0.002886836,0.000933369,0.000330188,0.002539807,0.002913025,0.001510811,0.001497249,0.000232182,0.000762682,0.000283927,0.005258776,0.002387535,0.002176653,0.00035041,0.01369863,0.002748399,0.000446174,0.003134339,0.000401374,0.002558363,0.000635413,0.006620241,0.000331168,0.000410613,0.000708931,0.000716161,0.003149148,0.001401105,0.001492166,0.000692848,0.000707532,0.001274955,0.00245023,0.001261101,0.000553213,0.006993007,0.000822302,0.001676446,0.001049599,0.000829805,0.000778329,0.001331663,0.003837305,0.001205827,0.000288902,0.000304179,0.002993571
